Feature	Average	Deviation	Observations
acl	0.01555992136360877	0.008366331373232692	6
acl:relcl	0.02325188914927234	0.00512440457692209	6
advcl	0.009023616474008959	0.0037824517610603285	6
advmod	0.07793867516942145	0.023123157685891602	6
amod	0.11656084755965858	0.018973750581237337	6
appos	0.015372548689304722	0.01139203150416029	6
aux	0.0012905649263167099	0.0023348571636058668	6
aux:pass	0.0035190648302855895	0.0035596026175428058	6
case	0.10051860769819537	0.01167443821050137	6
cc	0.038553482490000304	0.008220898945959489	6
ccomp	0.011210170789092316	0.008233387761330313	6
compound	0.0008252818035426731	0.0018453862133150437	6
conj	0.04506706641720267	0.01944046910095972	6
cop	0.005020101326395822	0.004684481681380248	6
csubj	0.006624261659229594	0.00450414345397685	6
csubj:pass	0.0	0.0	6
det	0.02501809444570412	0.01477474364415752	6
discourse	0.016431079996742343	0.012453546319343856	6
fixed	0.00800587097027954	0.006828449261176089	6
flat	0.002115434841312034	0.002155779302188641	6
flat:foreign	0.0	0.0	6
flat:name	0.008381067540713645	0.005209134348387598	6
iobj	0.00956746199048339	0.005757043640381025	6
mark	0.026520142578051627	0.010295797673710354	6
nmod	0.11881883028679159	0.018037955321497157	6
nsubj	0.11961747099537506	0.023314534446686665	6
nsubj:pass	0.003976884148130278	0.005368710802641687	6
nummod	0.011272952186067173	0.007039775091442513	6
nummod:gov	0.0036387335731394004	0.0013754498974928326	6
obj	0.04582339950367589	0.016297490634774987	6
obl	0.09241315688197399	0.01132865908516898	6
orphan	0.0	0.0	6
parataxis	0.021778973140860514	0.005381396074327268	6
xcomp	0.01628434657516346	0.009525731125770617	6
Unnamed: 36	nan	nan	6
